account_age_days,followers,following,posts_count,has_profile_pic,has_bio,follower_following_ratio,is_fake
12,5,800,3,0,0,0.0062,1
45,20,900,8,0,1,0.0222,1
10,2,1200,1,0,0,0.0017,1
25,8,600,4,1,0,0.0133,1
5,0,1500,0,0,0,0.0,1
180,500,400,120,1,1,1.2469,0
365,1200,800,300,1,1,1.4981,0
720,3000,1000,500,1,1,2.997,0
90,50,700,15,0,0,0.0713,1
400,2500,900,450,1,1,2.7747,0
15,3,1100,2,0,0,0.0027,1
600,1800,600,280,1,1,2.995,0
30,15,850,10,0,1,0.0176,1
1000,5000,1200,900,1,1,4.1632,0
8,1,2000,0,0,0,0.0005,1
250,800,500,150,1,1,1.5968,0
40,10,750,6,0,0,0.0133,1
900,4200,1100,700,1,1,3.815,0
20,4,950,2,0,0,0.0042,1
550,2200,700,320,1,1,3.1384,0
60,30,500,20,1,0,0.0599,0
120,100,200,40,1,1,0.4975,0
3,0,1800,0,0,0,0.0,1
800,3500,900,600,1,1,3.8846,0
18,6,1000,5,0,1,0.006,1
480,1600,550,260,1,1,2.9038,0
35,12,880,9,0,0,0.0136,1
1100,6000,1500,1000,1,1,3.9973,0
22,7,1300,3,0,0,0.0054,1
300,900,450,180,1,1,1.9956,0
